angle_deg,r_inner_mm,r_outer_mm,thickness_mm,protrusion_mm
2.581787109375,2820.868619499852,3043.9999994398568,223.131379940005,223.13138112746356
2.603759765625,2820.913884717685,3043.9999994397645,223.0861147220794,223.08611590963028
2.625732421875,2820.959503722036,3043.9999994396712,223.04049571763517,223.04049690527927
2.647705078125,2821.0054764957417,3043.999999439486,222.9945229437444,222.9945241315736
2.669677734375,2821.0518030215057,3043.999999439394,222.94819641788808,222.94819760580958
2.691650390625,2821.0984832819013,3043.9999994393015,222.90151615740024,222.90151734541405
2.713623046875,2821.145517259369,3043.9999994392088,222.85448217983958,222.85448336794616
2.735595703125,2821.1929049362184,3043.9999994391164,222.80709450289805,222.80709569109695
2.7575683593749996,2821.288741316636,3043.9999994390246,222.7112581223887,222.71125931067945
2.779541015625,2821.3371899841627,3043.99999943884,222.66280945467724,222.66281064315262
2.801513671875,2821.385992278988,3043.999999438748,222.61400715976015,222.6140083483274
2.823486328125,2821.435148182761,3043.9999994386553,222.56485125589415,222.56485244455416
2.845458984375,2821.4846576770015,3043.999999438564,222.51534176156247,222.51534295031388
2.867431640625,2821.534520743094,3043.999999438472,222.4654786953779,222.46547988422117
2.889404296875,2821.584737362296,3043.99999943838,222.41526207608422,222.41526326501935
2.911376953125,2821.635307515729,3043.999999438197,222.36469192246796,222.36469311158635
2.933349609375,2821.686231184386,3043.999999438105,222.313768253719,222.31376944292924
2.955322265625,2821.7375083491265,3043.9999994380128,222.26249108888624,222.2624922781888
2.977294921875,2821.78913899068,3043.9999994379223,222.21086044724234,222.2108616366354
2.999267578125,2821.841123089644,3043.9999994378304,222.15887634818637,222.1588775376713
3.021240234375,2821.946151581537,3043.9999994377386,222.05384785620163,222.0538490457784
3.043212890625,2822.1738771140062,3043.9999994375567,221.8261223235504,221.82612351330908
3.065185546875,2953.631944639049,3043.9999994374657,90.36805479841678,90.3680559882664
3.087158203125,2953.5874582366773,3043.999999437374,90.41254120069652,90.41254239063801
3.109130859375,2953.5433097631017,3043.999999437283,90.45668967418123,90.45669086421367
3.131103515625,2953.4994992334755,3043.999999437192,90.50050020371646,90.50050139383984
3.153076171875,2953.412892066113,3043.999999437101,90.58710737098818,90.58710856120251
3.175048828125,2953.3700954581086,3043.999999436919,90.62990397881049,90.62990516920672
3.197021484375,2953.327636853518,3043.999999436828,90.67236258331013,90.67236377379731
3.218994140625,2953.2855162669202,3043.9999994367377,90.71448316981741,90.71448436039509
3.240966796875,2953.2437337127767,3043.999999436647,90.75626572387046,90.75626691453863
3.262939453125,2953.202289205437,3043.999999436556,90.79771023111925,90.79771142187838
3.284912109375,2953.1611827591328,3043.9999994364653,90.83881667733249,90.83881786818256
3.306884765625,2953.079984105982,3043.9999994362843,90.92001533030225,90.92001652133331
3.328857421875,2953.039891927024,3043.9999994361947,90.96010750917048,90.96010870029113
3.350830078125,2953.0001378648785,3043.9999994361046,90.99986157122612,90.9998627624368
3.372802734375,2952.9607219331992,3043.999999436014,91.03927750281491,91.03927869411609
3.394775390625,2952.9216441455274,3043.9999994359237,91.0783552903963,91.07835648178798
3.416748046875,2952.882904515288,3043.999999435834,91.11709492054615,91.11709611202741
3.438720703125,2952.8445030557905,3043.999999435653,91.1554963798626,91.15549757152485
3.4606933593749996,2952.8064397802277,3043.9999994355635,91.19355965533578,91.19356084708761
3.482666015625,2952.7313278331053,3043.9999994354735,91.26867160236816,91.26867279421003
3.504638671875,2952.6942791873566,3043.9999994353843,91.30572024802768,91.30572143995869
3.526611328125,2952.6575687771624,3043.999999435294,91.34243065813143,91.34243185015293
3.548583984375,2952.621196615139,3043.9999994352047,91.37880282006563,91.37880401217626
3.570556640625,2952.5851627137877,3043.9999994350246,91.41483672123695,91.41483791352766
3.592529296874999,2952.5494670854923,3043.9999994349355,91.45053234944317,91.450533541823
3.614501953125,2952.514109742523,3043.999999434846,91.48588969232287,91.4858908847923
3.636474609375,2952.444409961057,3043.999999434756,91.555589473699,91.55559066625847
3.658447265625,2952.4100675465206,3043.9999994346676,91.58993188814702,91.58993308079471
3.6804199218750004,2952.376063465229,3043.999999434578,91.62393596934908,91.62393716208635
3.7023925781249996,2952.3423977288717,3043.9999994343993,91.65760170552767,91.65760289844366
3.7243652343750004,2952.309070349024,3043.99999943431,91.69092908528637,91.69093027829149
3.7463378906249996,2952.276081337145,3043.999999434221,91.72391809707597,91.72391929017022
3.7683105468750004,2952.243430704578,3043.9999994341324,91.7565687295546,91.75656992273753
3.7902832031249996,2952.2111184625483,3043.9999994340433,91.78888097149502,91.78888216476707
3.812255859375,2952.1475091944353,3043.9999994339546,91.85249023951928,91.85249143288002
3.834228515624999,2952.116212190226,3043.999999433777,91.88378724355061,91.88378843708915
3.856201171875,2952.0852536203047,3043.999999433689,91.91474581338434,91.91474700701065
3.878173828125,2952.054633495319,3043.9999994336004,91.94536593828116,91.94536713199614
3.900146484375,2952.0243518258017,3043.999999433511,91.97564760770956,91.97564880151367
3.9221191406250004,2951.9944086221667,3043.9999994334225,92.00559081125584,92.00559200514863
3.9440917968749996,2951.9648038947153,3043.999999433334,92.03519553861861,92.03519673260007
3.9660644531250004,2951.935537653629,3043.9999994331574,92.0644617795283,92.0644629736862
3.9880371093749996,2951.8780206707124,3043.999999433069,92.12197876235678,92.1219799566029
4.010009765625,2951.849769948668,3043.9999994329814,92.15022948431351,92.1502306786474
4.031982421874999,2951.8218577525645,3043.999999432893,92.17814168032874,92.17814287475085
4.053955078125,2951.7942840920045,3043.9999994328045,92.2057153408,92.20571653531078
4.075927734374999,2951.767048976476,3043.9999994327177,92.23295045624172,92.23295165083937
4.097900390625,2951.7401524153493,3043.9999994325412,92.25984701719199,92.25984821196607
4.119873046875001,2951.7135944178794,3043.9999994324535,92.28640501457403,92.28640620943588
4.141845703125,2951.66149415035,3043.9999994323657,92.33850528201583,92.33850647696545
4.163818359375001,2951.635951898219,3043.999999432278,92.36404753405895,92.36404872909634
4.185791015625,2951.610748245603,3043.99999943219,92.38925118658699,92.38925238171214
4.207763671875,2951.5858832011763,3043.999999432103,92.41411623092654,92.414117426139
4.229736328124999,2951.561356773496,3043.999999431928,92.43864265843195,92.43864385381949
4.251708984375,2951.537168971003,3043.9999994318405,92.46283046083727,92.46283165631212
4.273681640624999,2951.513319802024,3043.999999431753,92.48667962972922,92.48668082529139
4.295654296875,2951.4898092747662,3043.999999431666,92.51019015689963,92.5101913525491
4.317626953124999,2951.4438041776707,3043.999999431579,92.5561952539083,92.55619644964463
4.339599609375,2951.421309623669,3043.9999994314912,92.57868980782223,92.57869100364633
4.361572265625001,2951.3991537430616,3043.9999994313175,92.60084568825596,92.60084688425377
4.383544921875,2951.377336543476,3043.99999943123,92.62266288775436,92.62266408383948
4.405517578125001,2951.3558580324216,3043.9999994311434,92.64414139872179,92.64414259489376
4.427490234375,2951.3347182172947,3043.999999431057,92.66528121376223,92.66528241002061
4.449462890625,2951.313917105373,3043.99999943097,92.686082325597,92.68608352194224
4.471435546874999,2951.273331019674,3043.999999430883,92.72666841120872,92.72666960764127
4.493408203125,2951.2535460598715,3043.99999943071,92.74645337083848,92.74645456744383
